Major,Strong democrat - Extremely liberal,Strong democrat - Liberal,Strong democrat - Slightly liberal,"Strong democrat - Moderate, middle of the road",Strong democrat - Slightly conservative,Strong democrat - Conservative,Strong democrat - Extremely conservative,Not very strong democrat - Extremely liberal,Not very strong democrat - Liberal,Not very strong democrat - Slightly liberal,"Not very strong democrat - Moderate, middle of the road",Not very strong democrat - Slightly conservative,Not very strong democrat - Conservative,Not very strong democrat - Extremely conservative,"Independent, close to democrat - Extremely liberal","Independent, close to democrat - Liberal","Independent, close to democrat - Slightly liberal","Independent, close to democrat - Moderate, middle of the road","Independent, close to democrat - Slightly conservative","Independent, close to democrat - Conservative","Independent, close to democrat - Extremely conservative","Independent (neither, no response) - Extremely liberal","Independent (neither, no response) - Liberal","Independent (neither, no response) - Slightly liberal","Independent (neither, no response) - Moderate, middle of the road","Independent (neither, no response) - Slightly conservative","Independent (neither, no response) - Conservative","Independent (neither, no response) - Extremely conservative","Independent, close to republican - Extremely liberal","Independent, close to republican - Liberal","Independent, close to republican - Slightly liberal","Independent, close to republican - Moderate, middle of the road","Independent, close to republican - Slightly conservative","Independent, close to republican - Conservative","Independent, close to republican - Extremely conservative",Not very strong republican - Extremely liberal,Not very strong republican - Liberal,Not very strong republican - Slightly liberal,"Not very strong republican - Moderate, middle of the road",Not very strong republican - Slightly conservative,Not very strong republican - Conservative,Not very strong republican - Extremely conservative,Strong republican - Extremely liberal,Strong republican - Liberal,Strong republican - Slightly liberal,"Strong republican - Moderate, middle of the road",Strong republican - Slightly conservative,Strong republican - Conservative,Strong republican - Extremely conservative,Other party - Extremely liberal,Other party - Liberal,Other party - Slightly liberal,"Other party - Moderate, middle of the road",Other party - Slightly conservative,Other party - Conservative,Other party - Extremely conservative,Total
ACCOUNTING/BOOKKEEPING,1,3,0,2,0,0,0,0,0,1,6,0,1,0,0,1,2,1,1,0,0,0,0,0,3,1,1,0,0,0,0,4,2,0,0,0,0,0,4,1,5,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,46
ADVERTISING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
AGRICULTURE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
ALLIED HEALTH,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ANTHROPOLGY,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
ARCHITECTURE,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
ART,1,2,0,0,0,0,0,0,2,1,5,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22
BIOLOGY,0,10,2,0,0,0,0,0,3,2,0,0,0,0,1,2,2,3,1,0,0,0,0,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,42
BUSINESS ADMINISTRATION,2,14,7,8,1,1,0,2,9,9,18,9,0,0,5,8,11,12,1,2,0,0,1,0,23,2,1,0,0,0,0,17,10,5,1,0,0,5,11,16,22,0,0,1,1,2,4,22,7,1,0,2,2,2,1,2,280
CHEMISTRY,1,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
COMMUNICATIONS/SPEECH,3,4,1,1,0,0,0,0,3,5,1,1,0,0,1,2,2,1,0,0,0,0,0,0,4,1,0,0,0,0,0,2,4,1,0,0,0,0,0,2,4,0,0,0,0,0,1,3,2,0,1,0,0,1,0,0,51
COMM. DISORDERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
COMPUTER SCIENCE,2,2,1,0,1,0,0,0,0,2,2,2,1,0,0,2,0,6,1,0,1,1,1,0,14,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,2,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,53
DENTISTRY,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,9
EDUCATION,5,22,6,9,1,2,0,2,4,9,13,5,2,0,0,3,3,5,2,1,0,0,5,2,18,7,1,0,0,0,0,9,6,3,0,0,0,1,4,10,5,1,0,0,0,2,4,8,6,0,0,0,1,0,1,0,188
ECONOMICS,0,2,0,0,0,0,0,0,1,1,2,3,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,27
ENGINEERING,2,2,0,4,0,1,0,3,2,2,7,5,1,0,0,4,6,9,1,1,0,0,2,3,5,1,0,0,0,0,0,4,2,3,0,0,0,2,1,6,8,0,0,0,1,1,5,11,2,0,0,0,1,1,1,1,111
ENGLISH,8,5,0,0,0,0,0,2,2,0,2,1,0,0,0,1,2,3,1,0,0,0,1,0,2,0,1,0,0,2,1,2,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43
FINANCE,0,0,0,2,0,0,0,0,1,1,3,0,0,0,0,2,0,2,1,0,0,0,0,0,3,2,1,0,0,0,0,0,2,1,0,0,0,0,0,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,31
FOREIGN LANGUAGE,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
FORESTRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
GEOGRAPHY,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
GEOLOGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5
HISTORY,4,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,4,0,0,0,1,0,0,1,3,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,27
HOME ECONOMICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
INDUSTRY & TECHN,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
JOURNALISM,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,15
LAW,1,12,2,4,1,0,0,0,3,1,0,0,0,0,1,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,51
LAW ENFORCEMENT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,18
LIBRARY SCIENCE,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
MARKETING,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,0,0,0,6,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,27
MATHMATICS,0,1,0,0,0,0,0,0,2,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17
MEDICINE,0,3,1,1,0,0,0,0,1,2,1,1,0,0,0,1,1,2,0,0,0,0,0,2,2,1,0,0,0,1,0,0,2,2,0,0,0,0,1,7,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,38
MUSIC,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8
NURSING,2,4,3,1,2,1,1,0,1,1,7,1,1,0,0,4,4,2,1,0,0,0,3,3,4,4,0,0,0,0,1,0,4,4,1,0,0,0,4,7,9,0,0,0,0,1,0,5,3,0,0,0,1,1,0,0,91
PHARMACY,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,9
PHILOSOPHY,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
PHYSICAL EDUCATION,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,14
PHYSICS,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
PSYCHOLOGY,0,5,1,0,0,1,0,1,1,1,3,3,0,0,0,2,5,2,0,0,0,0,0,0,2,1,0,0,0,0,0,8,2,1,0,0,0,0,3,7,2,0,0,0,0,1,0,11,0,0,0,2,0,0,0,0,65
POLITICAL SCIENCE,1,4,1,0,0,0,0,1,2,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,1,0,0,0,0,1,2,5,0,0,0,0,0,0,3,1,2,0,0,3,0,0,0,41
SOCOLOGY,1,3,1,3,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21
SPECIAL EDUCATION,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
THEATER ARTS,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
THEOLOGY,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,13
VETERINARY MEDICINE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
LIBERAL ARTS,0,4,0,1,0,0,0,0,1,3,2,0,3,0,2,3,1,0,1,1,0,0,0,0,3,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32
OTHER,2,2,1,2,1,0,0,0,1,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,30
GENERAL SCIENCES,1,1,1,5,0,0,0,0,1,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1,2,1,0,0,0,0,1,1,2,0,0,0,0,0,2,2,0,0,0,0,1,0,2,0,39
SOCIAL WORK,2,4,0,0,0,0,0,1,0,3,3,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,27
GENERAL STUDIES,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
OTHER VOCATIONAL,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
HEALTH,3,4,1,0,1,0,0,0,1,1,2,1,0,0,0,0,1,7,1,0,0,0,1,1,3,0,0,0,0,0,1,4,2,1,0,0,3,0,1,9,3,0,0,0,0,2,0,4,0,0,1,0,0,1,1,0,61
Industrial relations,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Child development,0,0,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15
Food science/nutrition/culinary arts,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Environment science/studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6
Social sciences,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Human services,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12
Visual arts/graphic design,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,10
Fine arts,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11
Humanities,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ethnic studies,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Educational administration,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
"TV, film",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"Aviation, aeronatics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Statistics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Criminology/Criminal Justice,0,1,0,0,1,0,0,0,0,2,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,3,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Administrative Science/Public Administration,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Electronics,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Urban and Regional Planning,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4
Mechanics/Machine Trade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Dance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Gerontology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Public Relations,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Textiles/Cloth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Parks and Recreation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Information technology,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12
Fashion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Counseling,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
